Q20,Q30
1.120022822417749069e+02,6.526955024106090519e+00,1.493877096317953068e+01
1.129790586470930549e+02,6.827407397861409599e+00,1.499202106264489487e+01
1.139990026019061702e+02,7.107523811178469764e+00,1.504771462479365240e+01
1.150523214795170901e+02,7.370244378742007996e+00,1.510490135443263249e+01
1.161477235780865414e+02,7.598169170284012175e+00,1.516324687930199033e+01
1.172446263782436091e+02,7.787878784423160283e+00,1.521800310950532165e+01
1.182991139263569096e+02,7.950727848010623156e+00,1.526509691820089465e+01
1.193540353588010703e+02,8.162902106064617413e+00,1.530419345766684813e+01
1.203621664877616979e+02,8.439726391365406144e+00,1.533358887661445458e+01
1.213958602491408101e+02,8.739937516646932636e+00,1.535789734918119187e+01
1.225559358171579589e+02,9.025924815033700810e+00,1.538222997335536668e+01
1.237879419793852094e+02,9.327999572995858912e+00,1.540330149582094066e+01
1.249220932598281877e+02,9.624970889789553397e+00,1.541546855788000236e+01
1.259593609421227427e+02,9.869169156513224905e+00,1.542468729393820226e+01
1.269656481206068008e+02,1.005993407959089581e+01,1.543215915879187783e+01
1.279029091452788407e+02,1.025907524292049189e+01,1.543763194157623353e+01
1.290564976898459122e+02,1.049241745399083747e+01,1.544158160010688263e+01
1.305330899951555352e+02,1.074118977699345123e+01,1.544014717418702531e+01
1.320045007116133604e+02,1.090499756632037709e+01,1.543073628866109104e+01
1.333196523575249728e+02,1.100156404593293935e+01,1.541577906827606448e+01
1.346010431830117113e+02,1.110579722927503532e+01,1.539553137085751011e+01
1.358464397865172089e+02,1.125348930373802681e+01,1.536448265876392405e+01
1.370758538804175828e+02,1.139679231742643495e+01,1.531655136507782800e+01
1.382931305298341726e+02,1.151573708581530120e+01,1.524823553528997699e+01
1.395019705619522199e+02,1.160740996213002241e+01,1.515955152856433408e+01
1.407085444029412429e+02,1.167724082164113142e+01,1.505088269530148715e+01
1.418956240403235824e+02,1.173398482155456435e+01,1.492494655308725093e+01
1.430473187065140053e+02,1.178852792845120590e+01,1.478008207362857895e+01
1.441628806958941311e+02,1.185156280581358601e+01,1.461945265382106918e+01
1.452516513604066688e+02,1.192197732731551696e+01,1.444280059580329834e+01
1.463243565475809191e+02,1.199994646671395593e+01,1.425018321113314634e+01
1.473836157262788049e+02,1.212539475714949333e+01,1.404695506018982520e+01
1.484314055862285500e+02,1.228133381371897670e+01,1.384053962534432358e+01
1.494660704838040317e+02,1.244809740406075527e+01,1.363174598182117414e+01
1.504894804009321660e+02,1.261319703684028504e+01,1.342224191092390839e+01
1.515055789965722965e+02,1.276630127296627215e+01,1.321350270920113879e+01
1.525155873083184019e+02,1.289797763479666415e+01,1.300796596893146173e+01
1.535194378558127823e+02,1.300035800412409870e+01,1.280842125643015628e+01
1.545104561987752732e+02,1.311832952086386683e+01,1.261472499685615034e+01
1.554850232121245313e+02,1.327278783782910487e+01,1.242684994770790574e+01
1.564448445373289474e+02,1.344299283487366736e+01,1.224216694276276485e+01
1.573932169380988455e+02,1.361706526675451734e+01,1.205855919778890240e+01
1.583325081122736151e+02,1.378510369806907931e+01,1.187406953487631966e+01
1.592654080323891321e+02,1.393568000723567479e+01,1.168653967147082540e+01
1.601954221839571915e+02,1.405684017553450360e+01,1.149357253549104207e+01
1.611114947440937897e+02,1.422529555592470629e+01,1.129673448946809167e+01
1.620202298241749475e+02,1.441762347729251559e+01,1.109340592785010671e+01
1.629283833038305715e+02,1.461603611757478660e+01,1.088079519470956846e+01
1.638423584706697227e+02,1.480559837497098030e+01,1.065193501614243488e+01
1.647687010670961740e+02,1.496955747110865254e+01,1.040506930466152191e+01
1.657092818913756957e+02,1.508988948929947682e+01,1.014098174700600552e+01
1.666482757319140262e+02,1.526387669344239839e+01,9.867326981343518710e+00
1.675862273435392069e+02,1.546556867960145354e+01,9.580223183540132581e+00
1.685260098199459264e+02,1.567266156833948187e+01,9.278871246586572141e+00
1.694726245445847894e+02,1.586006212748991828e+01,8.967446900944906929e+00
1.704307296951276953e+02,1.599996300777592495e+01,8.652020909342798660e+00
1.713897779183200498e+02,1.616328445773803324e+01,8.339860879659330095e+00
1.723453222007311467e+02,1.636257277677886890e+01,8.025240010897462639e+00
1.733000071796965074e+02,1.657651020004062303e+01,7.703753913442517920e+00
1.742586893569612130e+02,1.677922490432019487e+01,7.370886321178314660e+00
1.752294320462616213e+02,1.693390737273882962e+01,7.027176574715810808e+00
1.762181808094883593e+02,1.700034557211052189e+01,6.677964987914831063e+00
1.772131622157051538e+02,1.712259066314458167e+01,6.327663715431624425e+00
1.782045791307875220e+02,1.734136183146101118e+01,5.986184756267923568e+00
1.791895652820925022e+02,1.760904829596760379e+01,5.639305268321899156e+00
1.801726200840598722e+02,1.786329582429033636e+01,5.271088019327013541e+00
1.811631900820673025e+02,1.800016322924466650e+01,4.867676098275289576e+00
1.821457766216913967e+02,1.799992166100159707e+01,4.428326867459542626e+00
1.831251518354259815e+02,1.800002342250824228e+01,3.986448438238180181e+00
1.841010714386480061e+02,1.802604989269092783e+01,3.546172399590679980e+00
1.850596177766855419e+02,1.838794409416319198e+01,3.266606313968339670e+00
