Q20,Q30,EHFB,HFBROT
8000.0,36000.0,-1728.520434,-1733.883029
8000.0,42000.0,-1729.323727,-1734.732941
8000.0,48000.0,-1731.165419,-1737.300909
8000.0,54000.0,-1730.731359,-1736.197294
8000.0,60000.0,-1730.083488,-1735.565099
8800.0,0.0,-1753.805874,-1757.907527
8800.0,6000.0,-1752.833556,-1756.971376
8800.0,12000.0,-1748.148256,-1752.44576
8800.0,18000.0,-1739.579694,-1744.227218
8800.0,24000.0,-1731.381467,-1736.457034
8800.0,30000.0,-1726.682414,-1732.091897
8800.0,36000.0,-1724.299398,-1730.229731
8800.0,42000.0,-1724.992123,-1730.382226
8800.0,48000.0,-1730.684273,-1736.578747
8800.0,54000.0,-1733.038019,-1739.040352
8800.0,60000.0,-1729.593119,-1735.663362
9600.0,0.0,-1752.052615,-1756.274715
9600.0,6000.0,-1752.020001,-1756.245952
9600.0,12000.0,-1749.558038,-1753.895139
9600.0,18000.0,-1742.588291,-1747.184835
9600.0,24000.0,-1733.421423,-1738.389785
9600.0,30000.0,-1727.484859,-1732.775062
9600.0,36000.0,-1723.30967,-1729.070062
9600.0,42000.0,-1722.009538,-1728.068038
9600.0,48000.0,-1726.967352,-1732.750312
9600.0,54000.0,-1732.49257,-1738.315688
9600.0,60000.0,-1733.468844,-1739.341352
10400.0,0.0,-1750.057062,-1754.36429
10400.0,6000.0,-1750.499554,-1754.801819
10400.0,12000.0,-1749.661953,-1754.048407
10400.0,18000.0,-1744.641602,-1749.266448
10400.0,24000.0,-1736.372675,-1741.30381
10400.0,30000.0,-1729.008447,-1734.238663
10400.0,36000.0,-1723.835137,-1729.446362
10400.0,42000.0,-1720.901677,-1726.81535
10400.0,48000.0,-1720.085896,-1725.708218
10400.0,54000.0,-1729.012078,-1734.783004
10400.0,60000.0,-1734.001777,-1739.775043
11200.0,0.0,-1747.840176,-1752.294434
11200.0,6000.0,-1748.944273,-1753.342654
11200.0,12000.0,-1749.636147,-1754.029172
11200.0,18000.0,-1746.029838,-1750.645161
11200.0,24000.0,-1739.46621,-1744.342899
11200.0,30000.0,-1731.457267,-1736.62922
11200.0,36000.0,-1725.780901,-1731.161786
11200.0,42000.0,-1721.223438,-1727.000849
11200.0,48000.0,-1718.601656,-1724.60642
11200.0,54000.0,-1722.815383,-1728.363438
11200.0,60000.0,-1730.261685,-1735.986323
12000.0,0.0,-1745.969485,-1750.493602
12000.0,6000.0,-1747.410919,-1751.92198
12000.0,12000.0,-1749.702338,-1754.151865
12000.0,18000.0,-1747.378699,-1751.96405
12000.0,24000.0,-1741.459115,-1746.325298
