     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140       24.00       42.00    -1706.5024        2.5562        0.2410       -0.3782        0.7325
     92    140       24.00       45.00    -1700.5545        0.7106        0.2149       -0.3654        0.6783
     92    140       24.00       48.00    -1694.2847        0.8060        0.1929       -0.3377        0.6231
     92    140       24.00       51.00    -1688.1933        0.7949        0.5820       -1.0340        1.8630
     92    140       24.00       54.00    -1679.4861        0.8993        0.1226       -0.2159        0.4029
     92    140       24.00       57.00    -1672.7223        0.8657        0.1021       -0.1832        0.3431
     92    140       24.00       60.00    -1668.1821        0.7963        0.0992       -0.1776        0.3332
     92    140       32.00        0.00    -1753.6766        1.1992        0.1305        0.0000        0.1918
     92    140       32.00        3.00    -1753.4914        0.8647        0.1609        0.0468        0.3952
     92    140       32.00        6.00    -1753.1001        0.8777        0.1835       -0.0501        0.3200
     92    140       32.00        9.00    -1750.1262        1.1039        0.1747       -0.0924        0.4358
     92    140       32.00       12.00    -1743.9108        0.8471        0.1029       -0.0286        0.2552
     92    140       32.00       15.00    -1730.7430        0.8381        0.3171       -0.5126        0.8484
     92    140       32.00       18.00    -1726.8332        0.7687        0.2107       -0.1924        0.4264
     92    140       32.00       21.00    -1720.9381        0.7794        0.1904       -0.3141        0.5427
     92    140       32.00       24.00    -1714.6102        0.9348        0.1304       -0.2179        0.3748
     92    140       32.00       27.00    -1713.6745        2.0736        0.0877       -0.1506        0.2726
     92    140       32.00       30.00    -1713.2701        2.7546        0.1736       -0.2969        0.5266
     92    140       32.00       33.00    -1713.7121        0.6208        0.1898       -0.2759        0.5864
     92    140       32.00       36.00    -1713.8268        1.5819        0.2352       -0.2763        0.3424
     92    140       32.00       39.00    -1713.7282        2.3498        0.2781       -0.3237        0.3871
     92    140       32.00       42.00    -1712.5761        2.2923        0.2681       -0.3074        0.3636
     92    140       32.00       45.00    -1709.5030        2.0287        0.2276       -0.2573        0.3085
     92    140       32.00       48.00    -1706.5352        0.7418        0.2689       -0.4491        0.7946
     92    140       32.00       51.00    -1700.6467        0.7174        0.2275       -0.3834        0.6786
     92    140       32.00       54.00    -1695.1127        0.7574        0.2223       -0.3808        0.6767
     92    140       32.00       57.00    -1688.8905        0.8462        0.2496       -0.4291        0.7584
     92    140       32.00       60.00    -1680.5995        0.9140        0.1242       -0.2134        0.3863
     92    140       40.00        0.00    -1747.7604        1.4538        0.0837        0.0000        0.1266
     92    140       40.00        3.00    -1747.6686        1.1381        0.0781       -0.0502        0.2439
     92    140       40.00        6.00    -1747.5921        1.0762        0.0693       -0.0715        0.3464
     92    140       40.00        9.00    -1747.5029        0.8797        0.1294       -0.0633        0.2713
     92    140       40.00       12.00    -1746.7280        1.2250        0.1621       -0.0596        0.1260
     92    140       40.00       15.00    -1734.0401        1.1034        0.2055       -0.3173        0.5089
     92    140       40.00       18.00    -1732.7336        1.0343        0.2164       -0.3084        0.4966
     92    140       40.00       21.00    -1728.1919        0.6292        0.1525       -0.1344        0.3721
     92    140       40.00       24.00    -1720.3542        0.7166        0.3493       -0.5702        0.9463
     92    140       40.00       27.00    -1715.2745        0.8325        0.2143       -0.3536        0.5908
