     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140      128.00        6.00    -1746.0557        1.3961        0.0424       -0.0073        0.0272
     92    140      128.00        9.00    -1748.4429        1.4953        0.0418       -0.0102        0.0284
     92    140      128.00       12.00    -1748.9646        1.5640        0.0446       -0.0235        0.0409
     92    140      128.00       15.00    -1746.9643        1.4626        0.0496       -0.0309        0.0452
     92    140      128.00       18.00    -1744.1821        1.3856        0.0649       -0.0449        0.0582
     92    140      128.00       21.00    -1739.8552        1.3533        0.0571       -0.0453        0.0597
     92    140      128.00       24.00    -1734.6571        1.3145        0.0395       -0.0345        0.0516
     92    140      128.00       27.00    -1730.1343        1.4713        0.0639       -0.0690        0.0949
     92    140      128.00       30.00    -1726.5958        1.4800        0.0570       -0.0465        0.0570
     92    140      128.00       33.00    -1720.2982        1.3817        0.0410       -0.0375        0.0711
     92    140      128.00       36.00    -1718.1737        1.4848        0.0435       -0.0406        0.0794
     92    140      128.00       39.00    -1716.2559        1.3531        0.0391       -0.0432        0.0960
     92    140      128.00       42.00    -1715.5394        1.2855        0.0447       -0.0480        0.0976
     92    140      128.00       45.00    -1714.1507        1.3722        0.0542       -0.0467        0.0759
     92    140      128.00       48.00    -1714.1481        1.2595        0.0495       -0.0409        0.0579
     92    140      128.00       51.00    -1713.2827        1.2666        0.0340       -0.0411        0.0772
     92    140      128.00       54.00    -1735.5032        2.7763        0.0397       -0.0673        0.1317
     92    140      128.00       57.00    -1738.9109        0.5288        0.0397       -0.0635        0.1282
     92    140      128.00       60.00    -1742.2624        0.4402        0.0505       -0.0814        0.1574
     92    140      136.00        0.00    -1742.1574        1.8176        0.0364        0.0000        0.0205
     92    140      136.00        3.00    -1742.9721        1.7679        0.0302       -0.0021        0.0208
     92    140      136.00        6.00    -1745.5857        1.5652        0.0384       -0.0046        0.0256
     92    140      136.00        9.00    -1748.3984        1.5006        0.0511       -0.0156        0.0317
     92    140      136.00       12.00    -1749.8533        1.5388        0.0571       -0.0257        0.0345
     92    140      136.00       15.00    -1748.7260        1.5169        0.0591       -0.0312        0.0461
     92    140      136.00       18.00    -1746.0276        1.4095        0.0628       -0.0380        0.0524
     92    140      136.00       21.00    -1742.5113        1.3303        0.0630       -0.0449        0.0555
     92    140      136.00       24.00    -1737.8136        1.3467        0.0511       -0.0429        0.0570
     92    140      136.00       27.00    -1732.8834        1.3152        0.0342       -0.0331        0.0524
     92    140      136.00       30.00    -1729.0238        1.3787        0.0553       -0.0566        0.0761
     92    140      136.00       33.00    -1721.9898        1.5041        0.0388       -0.0357        0.0580
     92    140      136.00       36.00    -1719.7020        1.4812        0.0433       -0.0437        0.0798
     92    140      136.00       39.00    -1717.6151        1.5686        0.0425       -0.0364        0.0678
     92    140      136.00       42.00    -1715.8431        1.3592        0.0398       -0.0416        0.0925
     92    140      136.00       45.00    -1700.5079        0.9165        0.0510       -0.0654        0.2488
     92    140      136.00       48.00    -1701.6292        1.0466        0.0403       -0.0668        0.2195
     92    140      136.00       51.00    -1703.3772        0.8253        0.0274       -0.0411        0.1337
     92    140      136.00       54.00    -1719.9480        2.4561        0.0228       -0.0374        0.0987
     92    140      136.00       57.00    -1710.2218        1.8275        0.0768       -0.1412        0.3493
     92    140      136.00       60.00    -1711.6111        0.8867        0.0503       -0.0854        0.2147
     92    140      144.00        0.00    -1741.9006        1.7758        0.0312       -0.0000        0.0219
     92    140      144.00        3.00    -1742.4362        1.7365        0.0323       -0.0027        0.0208
     92    140      144.00        6.00    -1744.7301        1.6670        0.0286        0.0002        0.0251
     92    140      144.00        9.00    -1747.9298        1.5702        0.0563       -0.0163        0.0375
     92    140      144.00       12.00    -1750.1660        1.5568        0.0631       -0.0253        0.0335
     92    140      144.00       15.00    -1750.2667        1.5735        0.0670       -0.0278        0.0346
     92    140      144.00       18.00    -1748.3026        1.4992        0.0664       -0.0318        0.0448
     92    140      144.00       21.00    -1744.9953        1.4176        0.0646       -0.0372        0.0502
     92    140      144.00       24.00    -1740.7226        1.3597        0.0559       -0.0391        0.0505
     92    140      144.00       27.00    -1735.6504        1.3596        0.0425       -0.0367        0.0500
     92    140      144.00       30.00    -1731.4965        1.3347        0.0361       -0.0377        0.0595
     92    140      144.00       33.00    -1724.3100        1.5030        0.0457       -0.0336        0.0451
     92    140      144.00       36.00    -1721.2518        1.5264        0.0456       -0.0405        0.0625
     92    140      144.00       39.00    -1719.4869        1.5976        0.0405       -0.0392        0.0682
     92    140      144.00       42.00    -1717.2465        1.6733        0.0389       -0.0308        0.0527
     92    140      144.00       45.00    -1704.3717        1.0133        0.0223       -0.0444        0.1499
     92    140      144.00       48.00    -1704.2608        0.9305        0.0450       -0.0559        0.2090
     92    140      144.00       51.00    -1705.2469        1.0829        0.0355       -0.0553        0.1802
     92    140      144.00       54.00    -1706.5759        0.8396        0.0269       -0.0428        0.1349
     92    140      144.00       57.00    -1702.6878        1.6099        0.0555       -0.1026        0.2802
     92    140      144.00       60.00    -1716.3412        1.2764        0.0427       -0.0016        0.0452
     92    140      152.00        0.00    -1741.8451        1.7324        0.0254        0.0000        0.0226
     92    140      152.00        3.00    -1742.6194        1.7157        0.0238       -0.0002        0.0208
     92    140      152.00        6.00    -1744.1418        1.7120        0.0230        0.0003        0.0212
     92    140      152.00        9.00    -1746.8051        1.6328        0.0434       -0.0089        0.0372
     92    140      152.00       12.00    -1749.8584        1.5942        0.0659       -0.0240        0.0429
     92    140      152.00       15.00    -1751.0939        1.6056        0.0580       -0.0221        0.0278
     92    140      152.00       18.00    -1750.3142        1.5575        0.0591       -0.0255        0.0350
     92    140      152.00       21.00    -1747.4891        1.5220        0.0452       -0.0250        0.0374
     92    140      152.00       24.00    -1743.6286        1.5000        0.0426       -0.0274        0.0404
     92    140      152.00       27.00    -1738.8198        1.4523        0.0389       -0.0283        0.0408
     92    140      152.00       30.00    -1733.8132        1.2525        0.0390       -0.0374        0.0538
     92    140      152.00       33.00    -1727.9311        1.4207        0.0375       -0.0313        0.0466
     92    140      152.00       36.00    -1723.1619        1.4729        0.0415       -0.0350        0.0493
     92    140      152.00       39.00    -1721.1730        1.5667        0.0468       -0.0378        0.0574
     92    140      152.00       42.00    -1719.3644        1.6284        0.0414       -0.0333        0.0498
     92    140      152.00       45.00    -1707.7054        1.2458        0.0306       -0.0355        0.1282
     92    140      152.00       48.00    -1707.9856        1.0265        0.0199       -0.0384        0.1275
     92    140      152.00       51.00    -1707.7818        0.9468        0.0395       -0.0465        0.1730
     92    140      152.00       54.00    -1708.6178        1.0987        0.0314       -0.0457        0.1485
     92    140      152.00       57.00    -1709.5890        0.8473        0.0264       -0.0432        0.1325
     92    140      152.00       60.00    -1728.0385        0.9236        0.0588       -0.0117        0.0542
     92    140      160.00        0.00    -1742.0532        1.6591        0.0179       -0.0000        0.0194
     92    140      160.00        3.00    -1743.0817        1.6493        0.0185        0.0013        0.0207
     92    140      160.00        6.00    -1744.3193        1.6880        0.0232        0.0007        0.0210
     92    140      160.00        9.00    -1745.6115        1.6545        0.0271        0.0014        0.0303
     92    140      160.00       12.00    -1749.0702        1.6258        0.0642       -0.0223        0.0507
     92    140      160.00       15.00    -1751.1362        1.5931        0.0524       -0.0192        0.0271
     92    140      160.00       18.00    -1751.6155        1.5675        0.0568       -0.0234        0.0308
     92    140      160.00       21.00    -1749.4372        1.4977        0.0355       -0.0203        0.0329
     92    140      160.00       24.00    -1746.0452        1.4766        0.0309       -0.0240        0.0389
     92    140      160.00       27.00    -1741.9853        1.4201        0.0313       -0.0260        0.0424
     92    140      160.00       30.00    -1736.9117        1.4017        0.0285       -0.0233        0.0378
     92    140      160.00       33.00    -1731.6610        1.4042        0.0313       -0.0276        0.0451
     92    140      160.00       36.00    -1726.5204        1.4797        0.0341       -0.0307        0.0466
     92    140      160.00       39.00    -1722.6022        1.5726        0.0442       -0.0335        0.0473
     92    140      160.00       42.00    -1721.4361        1.5219        0.0446       -0.0338        0.0464
     92    140      160.00       45.00    -1712.3137        1.1759        0.0453       -0.0955        0.2488
     92    140      160.00       48.00    -1711.1972        1.2343        0.0282       -0.0339        0.1157
     92    140      160.00       51.00    -1710.6851        0.7961        0.0254       -0.0356        0.1352
     92    140      160.00       54.00    -1711.0994        0.9643        0.0345       -0.0380        0.1414
     92    140      160.00       57.00    -1711.7781        1.0980        0.0277       -0.0378        0.1230
     92    140      160.00       60.00    -1712.5592        0.7113        0.0568       -0.1150        0.3012
     92    140      168.00        0.00    -1742.7051        1.6232        0.0201        0.0000        0.0164
     92    140      168.00        3.00    -1743.5834        1.6027        0.0231        0.0000        0.0206
     92    140      168.00        6.00    -1744.8180        1.6544        0.0315       -0.0009        0.0214
     92    140      168.00        9.00    -1745.2592        1.6792        0.0315       -0.0043        0.0196
     92    140      168.00       12.00    -1748.0733        1.5944        0.0544       -0.0169        0.0504
     92    140      168.00       15.00    -1750.6517        1.5711        0.0490       -0.0149        0.0300
     92    140      168.00       18.00    -1752.1292        1.5382        0.0530       -0.0213        0.0281
     92    140      168.00       21.00    -1751.0675        1.4788        0.0376       -0.0200        0.0322
     92    140      168.00       24.00    -1747.6552        1.4519        0.0339       -0.0252        0.0362
     92    140      168.00       27.00    -1744.6239        1.3600        0.0316       -0.0292        0.0483
     92    140      168.00       30.00    -1740.4465        1.2830        0.0311       -0.0291        0.0472
     92    140      168.00       33.00    -1735.3053        1.2813        0.0251       -0.0229        0.0399
     92    140      168.00       36.00    -1730.1061        1.3816        0.0276       -0.0261        0.0428
     92    140      168.00       39.00    -1725.1928        1.5087        0.0296       -0.0280        0.0439
     92    140      168.00       42.00    -1723.6112        1.3843        0.0431       -0.0220        0.0302
     92    140      168.00       45.00    -1716.0842        1.5788        0.0261       -0.0149        0.0305
     92    140      168.00       48.00    -1715.7098        1.1690        0.0423       -0.0874        0.2228
     92    140      168.00       51.00    -1714.8243        1.0221        0.0169       -0.0275        0.0813
     92    140      168.00       54.00    -1714.5777        1.0919        0.0153       -0.0259        0.0794
     92    140      168.00       57.00    -1714.2224        0.9839        0.0301       -0.0305        0.1147
     92    140      168.00       60.00    -1714.6863        1.0822        0.0232       -0.0307        0.0967
     92    140      176.00        0.00    -1743.9112        1.5978        0.0177        0.0000        0.0160
     92    140      176.00        3.00    -1744.2903        1.6027        0.0194        0.0003        0.0195
     92    140      176.00        6.00    -1745.4097        1.6170        0.0226       -0.0009        0.0198
     92    140      176.00        9.00    -1746.0452        1.6517        0.0252       -0.0043        0.0164
     92    140      176.00       12.00    -1747.0125        1.5601        0.0388       -0.0083        0.0418
     92    140      176.00       15.00    -1749.9885        1.5321        0.0525       -0.0139        0.0364
     92    140      176.00       18.00    -1751.9216        1.4850        0.0444       -0.0181        0.0266
     92    140      176.00       21.00    -1752.2721        1.4571        0.0400       -0.0201        0.0310
     92    140      176.00       24.00    -1749.2174        1.4851        0.0314       -0.0190        0.0295
     92    140      176.00       27.00    -1746.5624        1.3398        0.0305       -0.0238        0.0370
     92    140      176.00       30.00    -1743.6031        1.2102        0.0324       -0.0301        0.0478
     92    140      176.00       33.00    -1739.1395        1.1836        0.0312       -0.0292        0.0455
     92    140      176.00       36.00    -1734.0266        1.3077        0.0246       -0.0232        0.0391
     92    140      176.00       39.00    -1728.8170        1.4055        0.0258       -0.0246        0.0406
     92    140      176.00       42.00    -1726.2571        1.4892        0.0478       -0.0207        0.0244
     92    140      176.00       45.00    -1718.7163        1.5412        0.0145       -0.0095        0.0287
     92    140      176.00       48.00    -1719.4716        1.0692        0.0240       -0.0422        0.1119
     92    140      176.00       51.00    -1719.1915        1.5924        0.0301       -0.0216        0.0349
     92    140      176.00       54.00    -1717.7122        1.4813        0.0369       -0.0322        0.0500
     92    140      176.00       57.00    -1717.6875        1.1245        0.0140       -0.0224        0.0660
     92    140      176.00       60.00    -1716.5709        1.4544        0.0313       -0.0232        0.0451
     92    140      184.00        0.00    -1745.1220        1.5531        0.0205        0.0000        0.0151
     92    140      184.00        3.00    -1745.2280        1.5657        0.0214       -0.0001        0.0167
     92    140      184.00        6.00    -1745.9113        1.5777        0.0236       -0.0036        0.0185
     92    140      184.00        9.00    -1746.7556        1.5860        0.0296       -0.0049        0.0158
     92    140      184.00       12.00    -1746.9001        1.5724        0.0377       -0.0092        0.0170
     92    140      184.00       15.00    -1749.2859        1.4600        0.0525       -0.0132        0.0408
     92    140      184.00       18.00    -1751.4079        1.4119        0.0350       -0.0139        0.0255
     92    140      184.00       21.00    -1752.8139        1.4574        0.0363       -0.0176        0.0285
     92    140      184.00       24.00    -1750.9086        1.3931        0.0265       -0.0165        0.0307
     92    140      184.00       27.00    -1748.2788        1.3452        0.0325       -0.0192        0.0258
     92    140      184.00       30.00    -1746.2276        1.1220        0.0375       -0.0261        0.0362
     92    140      184.00       33.00    -1742.8075        1.0994        0.0361       -0.0296        0.0429
     92    140      184.00       36.00    -1737.9941        1.1717        0.0319       -0.0278        0.0412
     92    140      184.00       39.00    -1730.2913        1.5348        0.0645       -0.0274        0.0269
     92    140      184.00       42.00    -1728.4145        1.4707        0.0598       -0.0224        0.0231
     92    140      184.00       45.00    -1723.8414        2.4238        0.0253       -0.0086        0.0248
     92    140      184.00       48.00    -1724.0038        1.6177        0.0410       -0.0388        0.0581
     92    140      184.00       51.00    -1721.5703        1.6440        0.0373       -0.0319        0.0495
     92    140      184.00       54.00    -1719.2305        1.4917        0.0275       -0.0197        0.0339
     92    140      184.00       57.00    -1717.9830        1.4336        0.0375       -0.0328        0.0526
     92    140      184.00       60.00    -1717.7516        1.5768        0.0338       -0.0255        0.0408
     92    140      192.00        0.00    -1746.7015        1.4839        0.0225        0.0000        0.0159
     92    140      192.00        3.00    -1746.6449        1.4929        0.0219       -0.0011        0.0159
     92    140      192.00        6.00    -1746.6811        1.4832        0.0225       -0.0033        0.0167
     92    140      192.00        9.00    -1747.1760        1.5045        0.0323       -0.0065        0.0190
     92    140      192.00       12.00    -1747.5812        1.4967        0.0448       -0.0106        0.0173
     92    140      192.00       15.00    -1748.6028        1.3584        0.0476       -0.0106        0.0402
     92    140      192.00       18.00    -1750.9025        1.3479        0.0294       -0.0098        0.0251
     92    140      192.00       21.00    -1752.7369        1.4584        0.0284       -0.0135        0.0257
     92    140      192.00       24.00    -1752.1731        1.3886        0.0254       -0.0156        0.0318
     92    140      192.00       27.00    -1749.6472        1.3698        0.0331       -0.0171        0.0250
     92    140      192.00       30.00    -1748.4954        1.1521        0.0454       -0.0269        0.0308
     92    140      192.00       33.00    -1746.0300        1.0559        0.0476       -0.0320        0.0390
     92    140      192.00       36.00    -1741.9993        1.0996        0.0390       -0.0297        0.0398
     92    140      192.00       39.00    -1736.8801        1.1814        0.0301       -0.0264        0.0391
     92    140      192.00       42.00    -1731.7263        1.2219        0.0265       -0.0248        0.0399
     92    140      192.00       45.00    -1727.1914        1.2092        0.0277       -0.0158        0.0500
     92    140      192.00       48.00    -1726.8162        2.5271        0.0256       -0.0146        0.0350
     92    140      192.00       51.00    -1727.6541        1.2389        0.0449       -0.0388        0.0492
     92    140      192.00       54.00    -1721.3657        1.6333        0.0344       -0.0299        0.0511
     92    140      192.00       57.00    -1719.2250        1.4079        0.0251       -0.0190        0.0339
     92    140      192.00       60.00    -1718.2952        1.4822        0.0338       -0.0255        0.0482
     92    140      200.00        0.00    -1748.1745        1.4313        0.0242        0.0000        0.0189
     92    140      200.00        3.00    -1748.0413        1.4355        0.0249       -0.0016        0.0157
     92    140      200.00        6.00    -1747.5791        1.4170        0.0282       -0.0031        0.0165
     92    140      200.00        9.00    -1747.4417        1.3976        0.0262       -0.0063        0.0208
     92    140      200.00       12.00    -1747.8705        1.3681        0.0388       -0.0095        0.0186
     92    140      200.00       15.00    -1747.9032        1.2314        0.0342       -0.0048        0.0378
     92    140      200.00       18.00    -1750.4454        1.3320        0.0306       -0.0084        0.0261
     92    140      200.00       21.00    -1752.3905        1.3904        0.0234       -0.0101        0.0235
     92    140      200.00       24.00    -1752.8528        1.4228        0.0224       -0.0129        0.0288
     92    140      200.00       27.00    -1750.8652        1.3524        0.0239       -0.0117        0.0249
     92    140      200.00       30.00    -1750.0057        1.1979        0.0452       -0.0253        0.0284
     92    140      200.00       33.00    -1748.6093        1.0591        0.0480       -0.0303        0.0351
     92    140      200.00       36.00    -1745.6159        1.0766        0.0473       -0.0328        0.0395
     92    140      200.00       39.00    -1741.0611        1.1366        0.0351       -0.0270        0.0365
     92    140      200.00       42.00    -1735.7587        1.1861        0.0274       -0.0244        0.0377
     92    140      200.00       45.00    -1730.7592        1.2343        0.0261       -0.0245        0.0403
     92    140      200.00       48.00    -1730.2185        2.2733        0.0343       -0.0282        0.0677
     92    140      200.00       51.00    -1729.5332        1.4802        0.0253       -0.0199        0.0476
     92    140      200.00       54.00    -1728.7947        1.4394        0.0276       -0.0167        0.0614
     92    140      200.00       57.00    -1728.6140        1.1128        0.0213       -0.0368        0.0879
     92    140      200.00       60.00    -1727.9679        1.1979        0.0362       -0.0702        0.1593
     92    140      208.00        0.00    -1749.2200        1.3911        0.0201       -0.0000        0.0220
     92    140      208.00        3.00    -1749.0657        1.3941        0.0174       -0.0027        0.0164
     92    140      208.00        6.00    -1748.3393        1.3935        0.0261       -0.0037        0.0167
     92    140      208.00        9.00    -1747.5810        1.3061        0.0223       -0.0043        0.0187
     92    140      208.00       12.00    -1747.8968        1.2586        0.0299       -0.0088        0.0220
     92    140      208.00       15.00    -1748.2500        1.3595        0.0406       -0.0134        0.0203
     92    140      208.00       18.00    -1749.9799        1.3255        0.0302       -0.0071        0.0259
     92    140      208.00       21.00    -1751.9365        1.2622        0.0250       -0.0090        0.0225
     92    140      208.00       24.00    -1752.9930        1.4349        0.0226       -0.0108        0.0244
     92    140      208.00       27.00    -1751.6870        1.2982        0.0204       -0.0129        0.0305
     92    140      208.00       30.00    -1750.6223        1.2163        0.0390       -0.0217        0.0269
     92    140      208.00       33.00    -1750.2436        1.0723        0.0391       -0.0242        0.0308
     92    140      208.00       36.00    -1748.3224        0.9674        0.0432       -0.0293        0.0373
     92    140      208.00       39.00    -1744.9437        1.1201        0.0381       -0.0284        0.0367
     92    140      208.00       42.00    -1740.1125        1.1700        0.0259       -0.0216        0.0335
     92    140      208.00       45.00    -1733.8435        1.6779        0.0620       -0.0091        0.0988
     92    140      208.00       48.00    -1733.8149        1.2778        0.0241        0.0027        0.0193
     92    140      208.00       51.00    -1727.7787        1.4598        0.0321       -0.0263        0.0414
     92    140      208.00       54.00    -1731.6300        1.8606        0.0223       -0.0150        0.0472
     92    140      208.00       57.00    -1731.5590        1.3201        0.0257       -0.0157        0.0564
     92    140      208.00       60.00    -1731.3633        1.1091        0.0216       -0.0373        0.0866
     92    140      216.00        0.00    -1749.7914        1.3570        0.0223        0.0000        0.0215
     92    140      216.00        3.00    -1749.6555        1.3588        0.0199       -0.0030        0.0174
     92    140      216.00        6.00    -1748.9385        1.3567        0.0158       -0.0042        0.0168
     92    140      216.00        9.00    -1747.6510        1.2540        0.0237       -0.0039        0.0174
     92    140      216.00       12.00    -1747.8157        1.2209        0.0233       -0.0087        0.0238
     92    140      216.00       15.00    -1748.2195        1.1985        0.0313       -0.0114        0.0224
     92    140      216.00       18.00    -1749.4307        1.2692        0.0250       -0.0051        0.0249
     92    140      216.00       21.00    -1751.4431        1.1649        0.0285       -0.0084        0.0224
     92    140      216.00       24.00    -1752.8386        1.3858        0.0304       -0.0109        0.0222
     92    140      216.00       27.00    -1752.3474        1.3821        0.0267       -0.0146        0.0288
     92    140      216.00       30.00    -1750.6752        1.2015        0.0359       -0.0204        0.0308
     92    140      216.00       33.00    -1750.9526        1.2125        0.0277       -0.0165        0.0253
     92    140      216.00       36.00    -1749.9894        0.9014        0.0323       -0.0224        0.0338
     92    140      216.00       39.00    -1747.7844        0.9545        0.0350       -0.0257        0.0356
     92    140      216.00       42.00    -1744.1538        1.1442        0.0294       -0.0245        0.0349
     92    140      216.00       45.00    -1736.0508        0.5212        0.0783        0.0046        0.1742
     92    140      216.00       48.00    -1736.7934        1.8470        0.0464       -0.0115        0.0695
     92    140      216.00       51.00    -1729.8003        1.2058        0.0317       -0.0284        0.0456
     92    140      216.00       54.00    -1727.9746        1.3934        0.0336       -0.0268        0.0423
     92    140      216.00       57.00    -1734.3826        1.7940        0.0231       -0.0174        0.0512
     92    140      216.00       60.00    -1734.2085        1.2464        0.0244       -0.0158        0.0545
     92    140      224.00        0.00    -1750.2537        1.3509        0.0257       -0.0000        0.0161
     92    140      224.00        3.00    -1750.1275        1.3524        0.0287       -0.0031        0.0182
     92    140      224.00        6.00    -1749.5011        1.3611        0.0193       -0.0037        0.0168
     92    140      224.00        9.00    -1748.1821        1.3357        0.0163       -0.0043        0.0158
     92    140      224.00       12.00    -1747.7379        1.2335        0.0205       -0.0087        0.0231
     92    140      224.00       15.00    -1748.2611        1.0906        0.0244       -0.0079        0.0232
     92    140      224.00       18.00    -1748.9512        1.1048        0.0351       -0.0117        0.0290
     92    140      224.00       21.00    -1750.9334        1.1263        0.0301       -0.0070        0.0230
     92    140      224.00       24.00    -1752.4733        1.2797        0.0382       -0.0109        0.0238
     92    140      224.00       27.00    -1752.7016        1.3471        0.0358       -0.0140        0.0245
     92    140      224.00       30.00    -1751.2619        1.2260        0.0278       -0.0157        0.0304
     92    140      224.00       33.00    -1750.9862        1.2297        0.0210       -0.0114        0.0218
     92    140      224.00       36.00    -1750.8073        1.1491        0.0193       -0.0140        0.0268
     92    140      224.00       39.00    -1749.5159        0.7881        0.0311       -0.0230        0.0366
     92    140      224.00       42.00    -1747.1458        0.9954        0.0318       -0.0255        0.0353
     92    140      224.00       45.00    -1743.3515        1.1279        0.0280       -0.0243        0.0358
     92    140      224.00       48.00    -1738.8815        1.1309        0.0197       -0.0186        0.0343
     92    140      224.00       51.00    -1736.7633        1.2776        0.0329       -0.0413        0.1009
     92    140      224.00       54.00    -1736.9094        1.5925        0.0153       -0.0136        0.0397
     92    140      224.00       57.00    -1737.0792        1.5312        0.0154       -0.0122        0.0362
     92    140      224.00       60.00    -1735.5918        1.6275        0.0113       -0.0031        0.0241
     92    140      232.00        0.00    -1750.5594        1.3654        0.0199        0.0000        0.0127
     92    140      232.00        3.00    -1750.5384        1.3340        0.0269       -0.0027        0.0163
     92    140      232.00        6.00    -1750.0429        1.3525        0.0284       -0.0038        0.0179
     92    140      232.00        9.00    -1748.8433        1.3784        0.0141       -0.0039        0.0150
     92    140      232.00       12.00    -1747.7912        1.2388        0.0177       -0.0081        0.0216
     92    140      232.00       15.00    -1748.4604        1.0208        0.0184       -0.0045        0.0222
     92    140      232.00       18.00    -1748.9371        1.0053        0.0344       -0.0112        0.0294
     92    140      232.00       21.00    -1750.4276        1.1393        0.0292       -0.0053        0.0238
     92    140      232.00       24.00    -1752.0178        1.1447        0.0395       -0.0097        0.0286
     92    140      232.00       27.00    -1752.8638        1.2393        0.0360       -0.0116        0.0261
     92    140      232.00       30.00    -1752.5005        1.2098        0.0314       -0.0152        0.0299
     92    140      232.00       33.00    -1750.5971        1.1949        0.0209       -0.0104        0.0226
     92    140      232.00       36.00    -1751.0766        1.3075        0.0141       -0.0085        0.0219
     92    140      232.00       39.00    -1750.4912        0.9882        0.0265       -0.0213        0.0334
     92    140      232.00       42.00    -1749.0495        0.7402        0.0325       -0.0255        0.0398
     92    140      232.00       45.00    -1746.5145        0.9666        0.0345       -0.0283        0.0379
     92    140      232.00       48.00    -1742.6022        1.0798        0.0289       -0.0244        0.0361
     92    140      232.00       51.00    -1742.0013        1.6980        0.0642       -0.0289        0.1339
     92    140      232.00       54.00    -1739.3564        1.2654        0.0247       -0.0318        0.0802
     92    140      232.00       57.00    -1739.6291        1.5616        0.0152       -0.0133        0.0366
     92    140      232.00       60.00    -1739.6806        1.3666        0.0271       -0.0276        0.0653
     92    140      240.00        0.00    -1750.5160        1.2950        0.0143       -0.0000        0.0114
     92    140      240.00        3.00    -1750.6551        1.2700        0.0173       -0.0013        0.0132
     92    140      240.00        6.00    -1750.4357        1.2936        0.0256       -0.0036        0.0170
     92    140      240.00        9.00    -1749.3646        1.3438        0.0190       -0.0033        0.0149
     92    140      240.00       12.00    -1747.9809        1.1943        0.0161       -0.0048        0.0246
     92    140      240.00       15.00    -1748.6607        0.9594        0.0158       -0.0031        0.0226
     92    140      240.00       18.00    -1749.0981        0.9880        0.0217       -0.0064        0.0253
     92    140      240.00       21.00    -1749.9542        1.0657        0.0303       -0.0070        0.0318
     92    140      240.00       24.00    -1751.5861        1.0613        0.0349       -0.0074        0.0311
     92    140      240.00       27.00    -1752.8365        1.1164        0.0287       -0.0082        0.0259
     92    140      240.00       30.00    -1753.5514        1.1267        0.0298       -0.0145        0.0305
     92    140      240.00       33.00    -1752.1608        1.1276        0.0290       -0.0186        0.0422
     92    140      240.00       36.00    -1750.9341        1.2863        0.0144       -0.0060        0.0177
     92    140      240.00       39.00    -1750.8763        1.1222        0.0207       -0.0159        0.0314
     92    140      240.00       42.00    -1750.3951        0.8391        0.0319       -0.0255        0.0370
     92    140      240.00       45.00    -1748.7360        0.7477        0.0342       -0.0279        0.0406
     92    140      240.00       48.00    -1745.9117        0.9064        0.0359       -0.0300        0.0411
     92    140      240.00       51.00    -1743.9653        0.5047        0.0726       -0.0054        0.1749
     92    140      240.00       54.00    -1742.0853        1.0798        0.0242       -0.0291        0.0795
     92    140      240.00       57.00    -1741.8862        1.2460        0.0341       -0.0492        0.1135
     92    140      240.00       60.00    -1742.1443        1.5617        0.0120       -0.0080        0.0259
     92    140      248.00        0.00    -1750.3018        1.2404        0.0143        0.0000        0.0106
     92    140      248.00        3.00    -1750.5194        1.2504        0.0133       -0.0006        0.0113
     92    140      248.00        6.00    -1750.5882        1.2640        0.0170       -0.0028        0.0146
     92    140      248.00        9.00    -1749.7439        1.3082        0.0198       -0.0034        0.0153
     92    140      248.00       12.00    -1748.2274        1.1654        0.0181       -0.0020        0.0304
     92    140      248.00       15.00    -1748.8851        0.9239        0.0165       -0.0040        0.0236
     92    140      248.00       18.00    -1749.2384        0.9671        0.0151       -0.0034        0.0221
     92    140      248.00       21.00    -1749.7675        1.0064        0.0267       -0.0079        0.0401
     92    140      248.00       24.00    -1751.2059        1.0493        0.0274       -0.0045        0.0284
     92    140      248.00       27.00    -1753.2891        1.0746        0.0193       -0.0017        0.0238
     92    140      248.00       30.00    -1753.9773        1.0908        0.0259       -0.0127        0.0289
     92    140      248.00       33.00    -1753.7702        1.1519        0.0282       -0.0156        0.0362
     92    140      248.00       36.00    -1751.8239        1.0704        0.0274       -0.0191        0.0549
     92    140      248.00       39.00    -1750.9140        1.1494        0.0216       -0.0121        0.0277
     92    140      248.00       42.00    -1751.1488        1.0959        0.0269       -0.0213        0.0321
     92    140      248.00       45.00    -1750.4632        0.7581        0.0334       -0.0270        0.0401
     92    140      248.00       48.00    -1748.5638        0.8282        0.0358       -0.0303        0.0411
     92    140      248.00       51.00    -1745.7907        2.1569        0.0277       -0.0211        0.0822
     92    140      248.00       54.00    -1746.5679        1.5814        0.0406       -0.0272        0.1130
     92    140      248.00       57.00    -1744.4285        1.0646        0.0268       -0.0368        0.0935
     92    140      248.00       60.00    -1744.2565        1.2401        0.0246       -0.0352        0.0843
     92    140      256.00        0.00    -1750.1064        1.2404        0.0201       -0.0000        0.0098
     92    140      256.00        3.00    -1750.3031        1.2593        0.0178       -0.0014        0.0118
     92    140      256.00        6.00    -1750.5078        1.2726        0.0127       -0.0024        0.0132
     92    140      256.00        9.00    -1749.9521        1.2935        0.0160       -0.0037        0.0151
     92    140      256.00       12.00    -1748.4818        1.1633        0.0202       -0.0017        0.0334
     92    140      256.00       15.00    -1749.1962        0.9441        0.0198       -0.0052        0.0249
     92    140      256.00       18.00    -1749.4115        0.9314        0.0154       -0.0032        0.0207
