   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   41.00    0.00   52.00   -1794.966       4.426    0.005872    0.013411    0.000168    0.000000    0.000249    0.000000       1.729       1.723
   41.00    0.00   53.00   -1794.782       4.443    0.005741    0.013233    0.000166    0.000000    0.000239    0.000000       1.741       1.734
   41.00    1.00    0.00   -1800.023       3.388    0.021921    0.046842    0.001708    0.009518    0.003087    0.002425       1.010       1.061
   41.00    1.00    1.00   -1800.017       3.471    0.021754    0.045985    0.002026    0.009656    0.003566    0.003076       1.030       1.080
   41.00    1.00    2.00   -1800.006       3.485    0.021131    0.044132    0.001634    0.009021    0.003135    0.002325       1.049       1.097
   41.00    1.00    3.00   -1799.991       3.500    0.020528    0.042375    0.001489    0.008416    0.002979    0.002054       1.068       1.113
   41.00    1.00    4.00   -1799.972       3.516    0.019471    0.040653    0.001359    0.007541    0.002729    0.001790       1.086       1.129
   41.00    1.00    5.00   -1799.947       3.533    0.019439    0.039088    0.001263    0.007279    0.002718    0.001588       1.104       1.144
   41.00    1.00    6.00   -1799.924       3.551    0.018862    0.037615    0.001197    0.006772    0.002611    0.001419       1.121       1.160
   41.00    1.00    7.00   -1799.898       3.571    0.018221    0.036175    0.001097    0.006240    0.002443    0.001218       1.139       1.176
   41.00    1.00    8.00   -1799.867       3.591    0.017668    0.034875    0.000960    0.005799    0.002249    0.001036       1.156       1.192
   41.00    1.00    9.00   -1799.827       3.610    0.017128    0.033686    0.000899    0.005403    0.002140    0.000932       1.172       1.206
   41.00    1.00   10.00   -1799.789       3.631    0.016555    0.032518    0.000819    0.004982    0.001987    0.000791       1.189       1.220
   41.00    1.00   11.00   -1799.742       3.650    0.015974    0.031448    0.000718    0.004599    0.001799    0.000655       1.204       1.234
   41.00    1.00   12.00   -1799.691       3.669    0.015368    0.030447    0.000673    0.004226    0.001684    0.000577       1.219       1.247
   41.00    1.00   13.00   -1799.637       3.689    0.014929    0.029521    0.000624    0.003940    0.001584    0.000499       1.235       1.260
   41.00    1.00   14.00   -1799.580       3.709    0.014451    0.028649    0.000585    0.003658    0.001490    0.000438       1.249       1.273
   41.00    1.00   15.00   -1799.519       3.728    0.013998    0.027821    0.000548    0.003396    0.001402    0.000381       1.264       1.286
   41.00    1.00   16.00   -1799.454       3.748    0.013555    0.027043    0.000514    0.003153    0.001314    0.000330       1.278       1.298
   41.00    1.00   17.00   -1799.386       3.768    0.013131    0.026314    0.000486    0.002934    0.001237    0.000288       1.293       1.311
   41.00    1.00   18.00   -1799.315       3.787    0.012725    0.025617    0.000461    0.002728    0.001170    0.000254       1.307       1.323
   41.00    1.00   19.00   -1799.240       3.807    0.011938    0.024962    0.000437    0.002409    0.001053    0.000223       1.321       1.335
   41.00    1.00   20.00   -1799.162       3.827    0.011937    0.024338    0.000415    0.002359    0.001035    0.000193       1.334       1.347
   41.00    1.00   21.00   -1799.081       3.846    0.011705    0.023971    0.000283    0.002433    0.000640   -0.000024       1.348       1.360
   41.00    1.00   22.00   -1799.006       3.867    0.011299    0.023204    0.000321    0.002095    0.000792    0.000067       1.361       1.370
   41.00    1.00   23.00   -1798.912       3.886    0.010975    0.022640    0.000597    0.001922    0.001259    0.000343       1.374       1.383
   41.00    1.00   24.00   -1798.819       3.906    0.010689    0.021982    0.000441    0.001683    0.001003    0.000159       1.388       1.397
   41.00    1.00   25.00   -1798.732       3.928    0.010405    0.021608    0.000335    0.001685    0.000783    0.000077       1.403       1.409
   41.00    1.00   26.00   -1798.634       3.947    0.010109    0.020910    0.000323    0.001364    0.000765    0.000040       1.416       1.421
   41.00    1.00   27.00   -1798.532       3.966    0.010346    0.020712    0.000311    0.001616    0.000781    0.000079       1.429       1.432
   41.00    1.00   28.00   -1798.428       3.985    0.009790    0.020306    0.000329    0.001497    0.000756    0.000100       1.441       1.444
   41.00    1.00   29.00   -1798.325       4.007    0.009354    0.019845    0.000311    0.001332    0.000676    0.000068       1.455       1.457
   41.00    1.00   30.00   -1798.218       4.026    0.009062    0.019442    0.000283    0.001233    0.000608    0.000046       1.468       1.469
   41.00    1.00   31.00   -1798.103       4.045    0.008993    0.018978    0.000280    0.001115    0.000604    0.000033       1.479       1.483
   41.00    1.00   32.00   -1797.989       4.065    0.008752    0.018569    0.000275    0.000991    0.000585    0.000023       1.491       1.495
   41.00    1.00   33.00   -1797.870       4.084    0.008493    0.018209    0.000267    0.000909    0.000558    0.000019       1.504       1.507
   41.00    1.00   34.00   -1797.748       4.104    0.008229    0.017887    0.000258    0.000861    0.000527    0.000018       1.517       1.519
   41.00    1.00   35.00   -1797.622       4.123    0.007973    0.017594    0.000249    0.000836    0.000493    0.000020       1.529       1.531
   41.00    1.00   36.00   -1797.492       4.141    0.007738    0.017320    0.000239    0.000824    0.000459    0.000022       1.542       1.543
   41.00    1.00   37.00   -1797.359       4.160    0.007538    0.017054    0.000231    0.000816    0.000429    0.000024       1.554       1.555
   41.00    1.00   38.00   -1797.223       4.179    0.007385    0.016787    0.000224    0.000801    0.000406    0.000023       1.566       1.566
   41.00    1.00   39.00   -1797.083       4.197    0.007292    0.016508    0.000220    0.000769    0.000391    0.000018       1.578       1.578
   41.00    1.00   40.00   -1796.940       4.216    0.007273    0.016207    0.000219    0.000712    0.000388    0.000008       1.590       1.590
   41.00    1.00   41.00   -1796.795       4.234    0.007094    0.015923    0.000218    0.000659    0.000383    0.000004       1.602       1.601
   41.00    1.00   42.00   -1796.646       4.253    0.006942    0.015652    0.000215    0.000615    0.000375    0.000001       1.614       1.613
   41.00    1.00   43.00   -1796.494       4.271    0.006812    0.015395    0.000212    0.000579    0.000365   -0.000000       1.626       1.624
   41.00    1.00   44.00   -1796.339       4.288    0.006700    0.015149    0.000207    0.000549    0.000353   -0.000002       1.637       1.635
   41.00    1.00   45.00   -1796.181       4.306    0.006600    0.014915    0.000202    0.000523    0.000340   -0.000002       1.649       1.646
   41.00    1.00   46.00   -1796.019       4.323    0.006510    0.014690    0.000196    0.000502    0.000327   -0.000002       1.660       1.657
   41.00    1.00   47.00   -1795.854       4.341    0.006424    0.014474    0.000190    0.000484    0.000312   -0.000002       1.672       1.667
   41.00    1.00   48.00   -1795.686       4.358    0.006337    0.014266    0.000184    0.000467    0.000298   -0.000002       1.683       1.678
   41.00    1.00   49.00   -1795.515       4.375    0.006246    0.014065    0.000179    0.000450    0.000284   -0.000002       1.695       1.689
   41.00    1.00   50.00   -1795.340       4.392    0.006146    0.013869    0.000174    0.000433    0.000271   -0.000002       1.706       1.700
   41.00    1.00   51.00   -1795.161       4.409    0.006033    0.013678    0.000170    0.000414    0.000259   -0.000002       1.717       1.711
   41.00    1.00   52.00   -1794.979       4.426    0.005902    0.013490    0.000167    0.000392    0.000248   -0.000003       1.729       1.722
   41.00    1.00   53.00   -1794.793       4.444    0.005748    0.013305    0.000166    0.000366    0.000239   -0.000005       1.740       1.733
   41.00    2.00    0.00   -1800.035       3.376    0.024084    0.059315    0.001437    0.017332    0.002603    0.002156       1.010       1.071
   41.00    2.00    1.00   -1800.034       3.421    0.023248    0.073965    0.001790    0.020275    0.003170    0.004577       1.030       1.089
   41.00    2.00    2.00   -1800.025       3.443    0.022475    0.068822    0.001342    0.018748    0.002604    0.003159       1.049       1.105
   41.00    2.00    3.00   -1800.010       3.465    0.021772    0.064166    0.001220    0.017358    0.002475    0.002719       1.067       1.120
   41.00    2.00    4.00   -1799.992       3.487    0.021037    0.060145    0.001110    0.016082    0.002332    0.002356       1.085       1.134
   41.00    2.00    5.00   -1799.969       3.509    0.020314    0.056080    0.001030    0.014775    0.002206    0.002012       1.103       1.148
   41.00    2.00    6.00   -1799.944       3.532    0.019654    0.053015    0.000981    0.013758    0.002128    0.001806       1.121       1.162
   41.00    2.00    7.00   -1799.921       3.556    0.018949    0.049393    0.000899    0.012558    0.001993    0.001516       1.138       1.179
   41.00    2.00    8.00   -1799.888       3.579    0.018274    0.046527    0.000831    0.011530    0.001871    0.001282       1.154       1.192
   41.00    2.00    9.00   -1799.856       3.603    0.017534    0.044011    0.000759    0.010552    0.001738    0.001094       1.171       1.207
   41.00    2.00   10.00   -1799.814       3.625    0.017017    0.041610    0.000687    0.009775    0.001612    0.000898       1.187       1.220
   41.00    2.00   11.00   -1799.771       3.648    0.016414    0.039597    0.000641    0.009033    0.001510    0.000767       1.203       1.234
   41.00    2.00   12.00   -1799.721       3.669    0.015859    0.037740    0.000589    0.008367    0.001407    0.000651       1.218       1.247
   41.00    2.00   13.00   -1799.668       3.690    0.015318    0.036043    0.000555    0.007751    0.001329    0.000569       1.233       1.260
   41.00    2.00   14.00   -1799.612       3.712    0.014777    0.034497    0.000522    0.007173    0.001244    0.000484       1.248       1.273
   41.00    2.00   15.00   -1799.551       3.733    0.014283    0.033074    0.000495    0.006648    0.001173    0.000417       1.262       1.285
   41.00    2.00   16.00   -1799.487       3.754    0.013812    0.031763    0.000471    0.006166    0.001113    0.000364       1.277       1.298
   41.00    2.00   17.00   -1799.420       3.774    0.013363    0.030568    0.000446    0.005729    0.001047    0.000310       1.291       1.310
   41.00    2.00   18.00   -1799.350       3.795    0.012942    0.029465    0.000426    0.005333    0.000992    0.000268       1.305       1.322
   41.00    2.00   19.00   -1799.275       3.815    0.012533    0.028426    0.000406    0.004956    0.000940    0.000230       1.319       1.334
   41.00    2.00   20.00   -1799.198       3.835    0.012150    0.027479    0.000390    0.004622    0.000892    0.000199       1.333       1.346
   41.00    2.00   21.00   -1799.117       3.855    0.011779    0.026590    0.000374    0.004308    0.000846    0.000172       1.346       1.358
   41.00    2.00   22.00   -1799.032       3.875    0.011429    0.026532    0.000359    0.004358    0.000807    0.000215       1.360       1.370
   41.00    2.00   23.00   -1798.944       3.895    0.010601    0.025325    0.000321    0.003609    0.000638    0.000048       1.373       1.382
   41.00    2.00   24.00   -1798.860       3.916    0.010708    0.023905    0.000347    0.003303    0.000735    0.000074       1.386       1.395
   41.00    2.00   25.00   -1798.766       3.937    0.010497    0.023555    0.000288    0.003278    0.000576   -0.000049       1.400       1.407
   41.00    2.00   26.00   -1798.674       3.956    0.010102    0.022919    0.000315    0.003019    0.000671    0.000089       1.413       1.418
   41.00    2.00   27.00   -1798.565       3.976    0.010016    0.022338    0.000447    0.002937    0.000920    0.000326       1.426       1.431
   41.00    2.00   28.00   -1798.470       3.999    0.009605    0.021738    0.000313    0.002699    0.000616    0.000056       1.441       1.444
   41.00    2.00   29.00   -1798.365       4.019    0.009396    0.021143    0.000283    0.002513    0.000564    0.000018       1.454       1.456
   41.00    2.00   30.00   -1798.256       4.038    0.009131    0.020329    0.000280    0.002199    0.000558    0.000009       1.466       1.469
   41.00    2.00   31.00   -1798.134       4.055    0.009029    0.020175    0.000278    0.002284    0.000572    0.000049       1.477       1.481
   41.00    2.00   32.00   -1798.017       4.074    0.008794    0.019746    0.000269    0.002164    0.000544    0.000030       1.490       1.493
   41.00    2.00   33.00   -1797.898       4.093    0.008531    0.019306    0.000262    0.002022    0.000513    0.000018       1.502       1.505
   41.00    2.00   34.00   -1797.777       4.113    0.008259    0.018864    0.000255    0.001870    0.000481    0.000011       1.515       1.517
   41.00    2.00   35.00   -1797.652       4.133    0.007991    0.018431    0.000249    0.001720    0.000449    0.000008       1.528       1.530
   41.00    2.00   36.00   -1797.524       4.152    0.007745    0.018016    0.000243    0.001584    0.000419    0.000008       1.540       1.542
   41.00    2.00   37.00   -1797.393       4.171    0.007536    0.017631    0.000236    0.001475    0.000391    0.000007       1.552       1.554
   41.00    2.00   38.00   -1797.257       4.190    0.007380    0.017284    0.000229    0.001403    0.000368    0.000006       1.564       1.566
   41.00    2.00   39.00   -1797.118       4.208    0.007292    0.016986    0.000220    0.001382    0.000351    0.000001       1.576       1.578
   41.00    2.00   40.00   -1796.973       4.226    0.007290    0.016747    0.000209    0.001423    0.000341   -0.000008       1.588       1.589
   41.00    2.00   41.00   -1796.826       4.244    0.007059    0.016438    0.000206    0.001299    0.000329   -0.000013       1.601       1.600
   41.00    2.00   42.00   -1796.677       4.262    0.006870    0.016139    0.000203    0.001197    0.000319   -0.000017       1.613       1.611
   41.00    2.00   43.00   -1796.524       4.280    0.006716    0.015850    0.000201    0.001115    0.000309   -0.000019       1.625       1.622
   41.00    2.00   44.00   -1796.368       4.298    0.006591    0.015571    0.000198    0.001050    0.000301   -0.000019       1.636       1.633
   41.00    2.00   45.00   -1796.209       4.316    0.006488    0.015302    0.000195    0.000998    0.000293   -0.000019       1.648       1.645
   41.00    2.00   46.00   -1796.046       4.333    0.006402    0.015042    0.000192    0.000957    0.000286   -0.000017       1.660       1.656
   41.00    2.00   47.00   -1795.881       4.351    0.006327    0.014793    0.000188    0.000924    0.000278   -0.000016       1.671       1.667
   41.00    2.00   48.00   -1795.712       4.368    0.006256    0.014553    0.000185    0.000895    0.000270   -0.000014       1.683       1.679
   41.00    2.00   49.00   -1795.540       4.386    0.006183    0.014324    0.000182    0.000868    0.000262   -0.000012       1.694       1.690
   41.00    2.00   50.00   -1795.364       4.403    0.006103    0.014105    0.000178    0.000841    0.000253   -0.000011       1.706       1.701
   41.00    2.00   51.00   -1795.185       4.420    0.006009    0.013896    0.000174    0.000809    0.000242   -0.000010       1.717       1.712
   41.00    2.00   52.00   -1795.003       4.437    0.005895    0.013698    0.000170    0.000770    0.000231   -0.000011       1.728       1.722
   41.00    2.00   53.00   -1794.818       4.453    0.005756    0.013510    0.000165    0.000721    0.000217   -0.000013       1.739       1.732
   42.00    0.00    0.00   -1799.418       3.442    0.024461    0.039905    0.001400    0.000000    0.003420    0.000000       1.042       1.092
   42.00    0.00    1.00   -1799.410       3.490    0.022932    0.039904    0.001505    0.000000    0.003434    0.000000       1.060       1.107
   42.00    0.00    2.00   -1799.401       3.501    0.023044    0.038795    0.001965    0.000000    0.004136    0.000000       1.078       1.123
   42.00    0.00    3.00   -1799.389       3.510    0.022356    0.037730    0.001969    0.000000    0.004094    0.000000       1.098       1.141
   42.00    0.00    4.00   -1799.372       3.524    0.021560    0.036538    0.001444    0.000000    0.003378    0.000000       1.116       1.156
   42.00    0.00    5.00   -1799.353       3.538    0.020872    0.035642    0.001279    0.000000    0.003122    0.000000       1.134       1.172
   42.00    0.00    6.00   -1799.326       3.553    0.020271    0.034661    0.001223    0.000000    0.003010    0.000000       1.150       1.186
   42.00    0.00    7.00   -1799.302       3.570    0.019384    0.033706    0.001087    0.000000    0.002720    0.000000       1.167       1.202
   42.00    0.00    8.00   -1799.272       3.588    0.018727    0.032778    0.000901    0.000000    0.002395    0.000000       1.184       1.216
   42.00    0.00    9.00   -1799.234       3.605    0.017975    0.031891    0.000852    0.000000    0.002261    0.000000       1.199       1.229
   42.00    0.00   10.00   -1799.194       3.623    0.017284    0.031028    0.000775    0.000000    0.002083    0.000000       1.215       1.242
   42.00    0.00   11.00   -1799.148       3.641    0.016373    0.030218    0.000691    0.000000    0.001862    0.000000       1.230       1.255
   42.00    0.00   12.00   -1799.099       3.659    0.016124    0.029440    0.000637    0.000000    0.001772    0.000000       1.245       1.268
   42.00    0.00   13.00   -1799.047       3.677    0.015649    0.028693    0.000590    0.000000    0.001657    0.000000       1.260       1.280
   42.00    0.00   14.00   -1798.992       3.696    0.014352    0.027976    0.000548    0.000000    0.001449    0.000000       1.274       1.292
   42.00    0.00   15.00   -1798.933       3.714    0.014239    0.027287    0.000366    0.000000    0.001027    0.000000       1.288       1.304
   42.00    0.00   16.00   -1798.877       3.735    0.014136    0.026613    0.000401    0.000000    0.001152    0.000000       1.301       1.315
   42.00    0.00   17.00   -1798.808       3.753    0.013579    0.025984    0.000644    0.000000    0.001612    0.000000       1.316       1.328
   42.00    0.00   18.00   -1798.736       3.771    0.013195    0.025380    0.000519    0.000000    0.001366    0.000000       1.330       1.340
   42.00    0.00   19.00   -1798.668       3.792    0.012715    0.024712    0.000328    0.000000    0.000884    0.000000       1.344       1.352
   42.00    0.00   20.00   -1798.597       3.812    0.012305    0.024211    0.000389    0.000000    0.001041    0.000000       1.357       1.363
   42.00    0.00   21.00   -1798.517       3.832    0.012409    0.023686    0.000473    0.000000    0.001260    0.000000       1.371       1.375
   42.00    0.00   22.00   -1798.436       3.851    0.011645    0.023144    0.000348    0.000000    0.000931    0.000000       1.384       1.387
   42.00    0.00   23.00   -1798.350       3.870    0.011211    0.022647    0.000344    0.000000    0.000887    0.000000       1.397       1.398
   42.00    0.00   24.00   -1798.266       3.890    0.010835    0.022160    0.000327    0.000000    0.000829    0.000000       1.410       1.411
   42.00    0.00   25.00   -1798.174       3.908    0.010553    0.021700    0.000312    0.000000    0.000775    0.000000       1.422       1.423
   42.00    0.00   26.00   -1798.083       3.928    0.010264    0.021250    0.000236    0.000000    0.000499    0.000000       1.435       1.435
   42.00    0.00   27.00   -1797.992       3.948    0.009985    0.020800    0.000292    0.000000    0.000704    0.000000       1.447       1.446
   42.00    0.00   28.00   -1797.887       3.967    0.009717    0.020395    0.000406    0.000000    0.000907    0.000000       1.461       1.458
   42.00    0.00   29.00   -1797.785       3.987    0.009315    0.020000    0.000272    0.000000    0.000620    0.000000       1.473       1.470
   42.00    0.00   30.00   -1797.677       4.005    0.008987    0.019612    0.000267    0.000000    0.000586    0.000000       1.485       1.482
   42.00    0.00   31.00   -1797.569       4.024    0.008712    0.019227    0.000261    0.000000    0.000556    0.000000       1.497       1.495
   42.00    0.00   32.00   -1797.458       4.043    0.008471    0.018859    0.000254    0.000000    0.000529    0.000000       1.509       1.507
   42.00    0.00   33.00   -1797.343       4.062    0.008261    0.018508    0.000247    0.000000    0.000504    0.000000       1.522       1.519
   42.00    0.00   34.00   -1797.225       4.082    0.008076    0.018172    0.000240    0.000000    0.000481    0.000000       1.534       1.530
   42.00    0.00   35.00   -1797.104       4.102    0.007913    0.017849    0.000233    0.000000    0.000461    0.000000       1.546       1.541
   42.00    0.00   36.00   -1796.979       4.121    0.007768    0.017539    0.000227    0.000000    0.000442    0.000000       1.559       1.552
   42.00    0.00   37.00   -1796.850       4.140    0.007635    0.017239    0.000221    0.000000    0.000426    0.000000       1.571       1.563
   42.00    0.00   38.00   -1796.718       4.159    0.007511    0.016949    0.000216    0.000000    0.000412    0.000000       1.583       1.574
   42.00    0.00   39.00   -1796.582       4.177    0.007392    0.016666    0.000211    0.000000    0.000399    0.000000       1.594       1.586
   42.00    0.00   40.00   -1796.442       4.194    0.007273    0.016390    0.000208    0.000000    0.000388    0.000000       1.605       1.598
   42.00    0.00   41.00   -1796.302       4.214    0.007115    0.016118    0.000205    0.000000    0.000373    0.000000       1.617       1.609
   42.00    0.00   42.00   -1796.158       4.233    0.006971    0.015856    0.000201    0.000000    0.000359    0.000000       1.629       1.620
   42.00    0.00   43.00   -1796.011       4.251    0.006841    0.015602    0.000197    0.000000    0.000346    0.000000       1.641       1.631
   42.00    0.00   44.00   -1795.860       4.269    0.006721    0.015357    0.000192    0.000000    0.000333    0.000000       1.653       1.642
   42.00    0.00   45.00   -1795.705       4.287    0.006610    0.015120    0.000188    0.000000    0.000321    0.000000       1.664       1.653
   42.00    0.00   46.00   -1795.547       4.304    0.006505    0.014891    0.000183    0.000000    0.000309    0.000000       1.675       1.664
   42.00    0.00   47.00   -1795.385       4.321    0.006404    0.014669    0.000178    0.000000    0.000297    0.000000       1.686       1.675
   42.00    0.00   48.00   -1795.220       4.338    0.006305    0.014454    0.000173    0.000000    0.000285    0.000000       1.697       1.686
   42.00    0.00   49.00   -1795.052       4.355    0.006205    0.014245    0.000169    0.000000    0.000273    0.000000       1.708       1.697
   42.00    0.00   50.00   -1794.880       4.372    0.006102    0.014043    0.000164    0.000000    0.000262    0.000000       1.719       1.708
   42.00    0.00   51.00   -1794.705       4.388    0.005995    0.013846    0.000161    0.000000    0.000250    0.000000       1.730       1.718
   42.00    0.00   52.00   -1794.528       4.405    0.005880    0.013655    0.000158    0.000000    0.000239    0.000000       1.741       1.729
   42.00    0.00   53.00   -1794.347       4.422    0.005755    0.013468    0.000156    0.000000    0.000227    0.000000       1.752       1.739
   42.00    1.00    0.00   -1799.429       3.388    0.024381    0.053281    0.001705    0.011627    0.003683    0.002443       1.040       1.094
   42.00    1.00    1.00   -1799.423       3.462    0.024389    0.051531    0.002130    0.011743    0.004409    0.003377       1.060       1.111
   42.00    1.00    2.00   -1799.412       3.475    0.023640    0.049527    0.001611    0.011098    0.003669    0.002372       1.079       1.126
   42.00    1.00    3.00   -1799.398       3.489    0.022458    0.046508    0.001267    0.009657    0.003057    0.001629       1.097       1.141
   42.00    1.00    4.00   -1799.383       3.507    0.021253    0.044432    0.001359    0.008685    0.003091    0.001676       1.115       1.155
   42.00    1.00    5.00   -1799.363       3.522    0.020218    0.042496    0.001452    0.007824    0.003129    0.001710       1.133       1.171
   42.00    1.00    6.00   -1799.344       3.541    0.020447    0.040740    0.001116    0.007637    0.002774    0.001238       1.150       1.188
   42.00    1.00    7.00   -1799.318       3.559    0.018270    0.038954    0.000988    0.006330    0.002308    0.001008       1.166       1.203
   42.00    1.00    8.00   -1799.286       3.578    0.017522    0.037475    0.000885    0.005826    0.002102    0.000852       1.182       1.217
   42.00    1.00    9.00   -1799.250       3.597    0.018248    0.036117    0.000811    0.005979    0.002147    0.000754       1.199       1.230
   42.00    1.00   10.00   -1799.211       3.617    0.016190    0.034761    0.000732    0.004940    0.001780    0.000627       1.215       1.242
   42.00    1.00   11.00   -1799.166       3.635    0.015751    0.033534    0.000656    0.004603    0.001645    0.000521       1.230       1.255
   42.00    1.00   12.00   -1799.117       3.654    0.015314    0.032395    0.000606    0.004284    0.001545    0.000441       1.244       1.267
   42.00    1.00   13.00   -1799.065       3.674    0.014911    0.031330    0.000563    0.004003    0.001453    0.000373       1.259       1.280
   42.00    1.00   14.00   -1799.010       3.693    0.014579    0.030327    0.000524    0.003762    0.001375    0.000316       1.273       1.292
   42.00    1.00   15.00   -1798.951       3.712    0.014228    0.029386    0.000491    0.003528    0.001301    0.000266       1.287       1.304
   42.00    1.00   16.00   -1798.889       3.732    0.013943    0.028948    0.000462    0.003697    0.001237    0.000305       1.301       1.316
   42.00    1.00   17.00   -1798.824       3.751    0.013181    0.027885    0.000434    0.003152    0.001126    0.000225       1.315       1.328
   42.00    1.00   18.00   -1798.755       3.770    0.012604    0.026898    0.000333    0.002712    0.000828    0.000014       1.329       1.339
   42.00    1.00   19.00   -1798.688       3.791    0.012784    0.026149    0.000384    0.002689    0.001025    0.000117       1.342       1.351
   42.00    1.00   20.00   -1798.608       3.809    0.012368    0.025695    0.000505    0.002718    0.001254    0.000324       1.355       1.363
   42.00    1.00   21.00   -1798.532       3.830    0.012005    0.024796    0.000377    0.002326    0.000960    0.000095       1.370       1.375
   42.00    1.00   22.00   -1798.455       3.851    0.012414    0.024149    0.000332    0.002373    0.000904    0.000049       1.383       1.386
   42.00    1.00   23.00   -1798.369       3.870    0.011591    0.023254    0.000336    0.001809    0.000870    0.000012       1.396       1.398
   42.00    1.00   24.00   -1798.285       3.890    0.010868    0.022932    0.000336    0.001834    0.000812    0.000058       1.409       1.411
   42.00    1.00   25.00   -1798.196       3.910    0.010090    0.022441    0.000310    0.001638    0.000699    0.000050       1.422       1.423
   42.00    1.00   26.00   -1798.102       3.929    0.010309    0.021853    0.000296    0.001598    0.000698    0.000017       1.434       1.435
   42.00    1.00   27.00   -1798.007       3.950    0.010012    0.021659    0.000289    0.001791    0.000673    0.000072       1.448       1.446
   42.00    1.00   28.00   -1797.906       3.968    0.009744    0.020952    0.000279    0.001451    0.000650    0.000028       1.460       1.457
   42.00    1.00   29.00   -1797.800       3.987    0.009016    0.020502    0.000269    0.001241    0.000559    0.000015       1.472       1.469
   42.00    1.00   30.00   -1797.696       4.006    0.009208    0.020073    0.000276    0.001276    0.000603    0.000025       1.484       1.481
   42.00    1.00   31.00   -1797.593       4.028    0.009009    0.019649    0.000264    0.001204    0.000565    0.000009       1.497       1.494
   42.00    1.00   32.00   -1797.483       4.048    0.008784    0.019247    0.000253    0.001130    0.000529   -0.000002       1.510       1.506
   42.00    1.00   33.00   -1797.367       4.068    0.008542    0.018864    0.000243    0.001057    0.000497   -0.000009       1.522       1.518
   42.00    1.00   34.00   -1797.247       4.086    0.008295    0.018499    0.000235    0.000987    0.000469   -0.000012       1.534       1.529
   42.00    1.00   35.00   -1797.122       4.104    0.008053    0.018150    0.000228    0.000921    0.000444   -0.000012       1.546       1.540
   42.00    1.00   36.00   -1796.994       4.121    0.007825    0.017816    0.000222    0.000862    0.000423   -0.000011       1.557       1.551
   42.00    1.00   37.00   -1796.863       4.139    0.007623    0.017494    0.000217    0.000811    0.000405   -0.000009       1.569       1.562
   42.00    1.00   38.00   -1796.730       4.157    0.007457    0.017183    0.000213    0.000770    0.000391   -0.000007       1.581       1.573
   42.00    1.00   39.00   -1796.595       4.176    0.007337    0.016882    0.000211    0.000742    0.000381   -0.000006       1.592       1.585
   42.00    1.00   40.00   -1796.459       4.196    0.007273    0.016589    0.000210    0.000727    0.000375   -0.000007       1.604       1.597
   42.00    1.00   41.00   -1796.319       4.215    0.007116    0.016280    0.000206    0.000654    0.000361   -0.000016       1.616       1.608
   42.00    1.00   42.00   -1796.176       4.234    0.006976    0.015989    0.000202    0.000598    0.000348   -0.000021       1.628       1.620
   42.00    1.00   43.00   -1796.028       4.252    0.006851    0.015716    0.000197    0.000557    0.000336   -0.000024       1.640       1.631
   42.00    1.00   44.00   -1795.877       4.270    0.006737    0.015458    0.000192    0.000527    0.000324   -0.000025       1.652       1.642
   42.00    1.00   45.00   -1795.722       4.288    0.006632    0.015213    0.000187    0.000507    0.000313   -0.000023       1.663       1.653
   42.00    1.00   46.00   -1795.563       4.306    0.006533    0.014980    0.000182    0.000493    0.000302   -0.000021       1.675       1.664
   42.00    1.00   47.00   -1795.401       4.323    0.006437    0.014757    0.000178    0.000484    0.000291   -0.000018       1.686       1.675
   42.00    1.00   48.00   -1795.236       4.340    0.006341    0.014543    0.000173    0.000476    0.000280   -0.000015       1.697       1.686
   42.00    1.00   49.00   -1795.067       4.357    0.006242    0.014335    0.000169    0.000467    0.000269   -0.000012       1.708       1.697
   42.00    1.00   50.00   -1794.895       4.374    0.006137    0.014132    0.000165    0.000455    0.000258   -0.000011       1.719       1.707
   42.00    1.00   51.00   -1794.720       4.390    0.006024    0.013932    0.000161    0.000437    0.000247   -0.000010       1.730       1.718
   42.00    1.00   52.00   -1794.542       4.407    0.005899    0.013734    0.000158    0.000411    0.000235   -0.000012       1.740       1.728
   42.00    1.00   53.00   -1794.361       4.423    0.005759    0.013535    0.000156    0.000373    0.000223   -0.000016       1.751       1.738
   42.00    2.00    0.00   -1799.483       3.408    0.027874    0.079104    0.001405    0.024539    0.003121    0.002523       1.037       1.102
   42.00    2.00    1.00   -1799.478       3.458    0.025907    0.077236    0.001490    0.022802    0.003227    0.003174       1.057       1.116
   42.00    2.00    2.00   -1799.469       3.475    0.024946    0.071915    0.001347    0.020973    0.002989    0.002663       1.076       1.130
   42.00    2.00    3.00   -1799.457       3.494    0.023994    0.067021    0.001209    0.019255    0.002764    0.002241       1.095       1.144
   42.00    2.00    4.00   -1799.439       3.512    0.023103    0.063528    0.001066    0.017987    0.002530    0.001918       1.112       1.158
   42.00    2.00    5.00   -1799.416       3.531    0.022184    0.058737    0.000977    0.016257    0.002351    0.001564       1.130       1.171
   42.00    2.00    6.00   -1799.393       3.551    0.021269    0.053182    0.000905    0.014220    0.002186    0.001150       1.146       1.185
   42.00    2.00    7.00   -1799.368       3.572    0.020380    0.050521    0.000825    0.013171    0.002004    0.000955       1.163       1.199
   42.00    2.00    8.00   -1799.336       3.592    0.019575    0.048170    0.000801    0.012261    0.001918    0.000861       1.179       1.212
