 #  Z     N         Q_20        Q_30       BE_LN
    92   158       56.00       33.00    -1742.8880
    92   158       56.00       36.00    -1735.7370
    92   158       56.00       39.00    -1733.6460
    92   158       56.00       42.00    -1728.7490
    92   158       56.00       45.00    -1720.3040
    92   158       56.00       48.00    -1708.1880
    92   158       56.00       51.00    -1703.2160
    92   158       56.00       54.00    -1697.1350
    92   158       56.00       57.00    -1688.9690
    92   158       56.00       60.00    -1677.7960
    92   158       64.00        0.00    -1795.1060
    92   158       64.00        3.00    -1793.8500
    92   158       64.00        6.00    -1790.5080
    92   158       64.00        9.00    -1788.4050
    92   158       64.00       12.00    -1787.5980
    92   158       64.00       15.00    -1787.8710
    92   158       64.00       18.00    -1788.0350
    92   158       64.00       21.00    -1785.0040
    92   158       64.00       24.00    -1778.1170
    92   158       64.00       27.00    -1766.7590
    92   158       64.00       30.00    -1755.0560
    92   158       64.00       33.00    -1747.0140
    92   158       64.00       36.00    -1740.5260
    92   158       64.00       39.00    -1733.1810
    92   158       64.00       42.00    -1726.8970
    92   158       64.00       45.00    -1727.7573
    92   158       64.00       48.00    -1719.5610
    92   158       64.00       51.00    -1712.0190
    92   158       64.00       54.00    -1707.0910
    92   158       64.00       57.00    -1700.2460
    92   158       64.00       60.00    -1692.0240
    92   158       72.00        0.00    -1798.6130
    92   158       72.00        3.00    -1796.3850
    92   158       72.00        6.00    -1792.0020
    92   158       72.00        9.00    -1788.9900
    92   158       72.00       12.00    -1785.8470
    92   158       72.00       15.00    -1783.7330
    92   158       72.00       18.00    -1784.1640
    92   158       72.00       21.00    -1784.3510
    92   158       72.00       24.00    -1781.9650
    92   158       72.00       27.00    -1774.9910
    92   158       72.00       30.00    -1763.2250
    92   158       72.00       33.00    -1753.0320
    92   158       72.00       36.00    -1744.5720
    92   158       72.00       39.00    -1737.7220
    92   158       72.00       42.00    -1729.3690
    92   158       72.00       45.00    -1730.9490
    92   158       72.00       48.00    -1727.1770
    92   158       72.00       51.00    -1720.5480
    92   158       72.00       54.00    -1714.1090
    92   158       72.00       57.00    -1708.1230
    92   158       72.00       60.00    -1700.5890
    92   158       80.00        0.00    -1801.2750
    92   158       80.00        3.00    -1799.3490
    92   158       80.00        6.00    -1794.4540
    92   158       80.00        9.00    -1790.6480
    92   158       80.00       12.00    -1787.1760
    92   158       80.00       15.00    -1783.1250
    92   158       80.00       18.00    -1780.5940
    92   158       80.00       21.00    -1780.9340
    92   158       80.00       24.00    -1780.3850
    92   158       80.00       27.00    -1777.5920
    92   158       80.00       30.00    -1770.9610
    92   158       80.00       33.00    -1761.2900
    92   158       80.00       36.00    -1750.5370
    92   158       80.00       39.00    -1741.6960
    92   158       80.00       42.00    -1734.0460
    92   158       80.00       45.00    -1737.2730
    92   158       80.00       48.00    -1733.4740
    92   158       80.00       51.00    -1729.1820
    92   158       80.00       54.00    -1721.6430
    92   158       80.00       57.00    -1713.9480
    92   158       80.00       60.00    -1706.6970
    92   158       88.00        0.00    -1801.2470
    92   158       88.00        3.00    -1799.7640
    92   158       88.00        6.00    -1796.3580
    92   158       88.00        9.00    -1791.8340
    92   158       88.00       12.00    -1788.4770
    92   158       88.00       15.00    -1784.9620
    92   158       88.00       18.00    -1780.3940
    92   158       88.00       21.00    -1778.1150
    92   158       88.00       24.00    -1777.6300
    92   158       88.00       27.00    -1776.2740
    92   158       88.00       30.00    -1773.5590
    92   158       88.00       33.00    -1767.9710
    92   158       88.00       36.00    -1758.1990
    92   158       88.00       39.00    -1746.9320
    92   158       88.00       42.00    -1738.0490
    92   158       88.00       45.00    -1736.1840
    92   158       88.00       48.00    -1738.6490
    92   158       88.00       51.00    -1734.4560
    92   158       88.00       54.00    -1729.6380
    92   158       88.00       57.00    -1720.6970
    92   158       88.00       60.00    -1712.2880
    92   158       96.00        0.00    -1799.3280
    92   158       96.00        3.00    -1798.7140
    92   158       96.00        6.00    -1796.9550
    92   158       96.00        9.00    -1793.7290
    92   158       96.00       12.00    -1789.3050
    92   158       96.00       15.00    -1786.0210
    92   158       96.00       18.00    -1782.1820
    92   158       96.00       21.00    -1777.5730
    92   158       96.00       24.00    -1775.8400
    92   158       96.00       27.00    -1772.8880
    92   158       96.00       30.00    -1771.9110
    92   158       96.00       33.00    -1769.6540
    92   158       96.00       36.00    -1763.9880
    92   158       96.00       39.00    -1753.7270
    92   158       96.00       42.00    -1742.5680
    92   158       96.00       45.00    -1740.8190
    92   158       96.00       48.00    -1743.3256
    92   158       96.00       51.00    -1736.7660
    92   158       96.00       54.00    -1734.3920
    92   158       96.00       57.00    -1727.9490
    92   158       96.00       60.00    -1717.6940
    92   158      104.00        0.00    -1797.6610
    92   158      104.00        3.00    -1797.5750
    92   158      104.00        6.00    -1796.9130
    92   158      104.00        9.00    -1794.8920
    92   158      104.00       12.00    -1791.0110
    92   158      104.00       15.00    -1786.5930
    92   158      104.00       18.00    -1783.1860
    92   158      104.00       21.00    -1778.7640
    92   158      104.00       24.00    -1773.6460
    92   158      104.00       27.00    -1772.5590
    92   158      104.00       30.00    -1770.8230
    92   158      104.00       33.00    -1768.7860
    92   158      104.00       36.00    -1765.5270
    92   158      104.00       39.00    -1759.0450
    92   158      104.00       42.00    -1748.8390
    92   158      104.00       45.00    -1741.2960
    92   158      104.00       48.00    -1743.5030
    92   158      104.00       51.00    -1740.2959
    92   158      104.00       54.00    -1736.4440
    92   158      104.00       57.00    -1732.7470
    92   158      104.00       60.00    -1721.7080
    92   158      112.00        0.00    -1796.2490
    92   158      112.00        3.00    -1796.4130
    92   158      112.00        6.00    -1796.5550
    92   158      112.00        9.00    -1795.7530
    92   158      112.00       12.00    -1793.0750
    92   158      112.00       15.00    -1788.9120
    92   158      112.00       18.00    -1784.5290
    92   158      112.00       21.00    -1780.3200
    92   158      112.00       24.00    -1775.1460
    92   158      112.00       27.00    -1772.3680
    92   158      112.00       30.00    -1770.9160
    92   158      112.00       33.00    -1769.0300
    92   158      112.00       36.00    -1767.3140
    92   158      112.00       39.00    -1763.0990
    92   158      112.00       42.00    -1755.6690
    92   158      112.00       45.00    -1747.0290
    92   158      112.00       48.00    -1739.8260
    92   158      112.00       51.00    -1745.3195
    92   158      112.00       54.00    -1740.5090
    92   158      112.00       57.00    -1735.9960
    92   158      112.00       60.00    -1729.8240
    92   158      120.00        0.00    -1795.8650
    92   158      120.00        3.00    -1796.0140
    92   158      120.00        6.00    -1796.2940
    92   158      120.00        9.00    -1796.3050
    92   158      120.00       12.00    -1794.9840
    92   158      120.00       15.00    -1791.7240
    92   158      120.00       18.00    -1787.2580
    92   158      120.00       21.00    -1782.3060
    92   158      120.00       24.00    -1777.5140
    92   158      120.00       27.00    -1772.7550
    92   158      120.00       30.00    -1771.1380
    92   158      120.00       33.00    -1769.2600
    92   158      120.00       36.00    -1767.8030
    92   158      120.00       39.00    -1766.3380
    92   158      120.00       42.00    -1762.2430
    92   158      120.00       45.00    -1755.8100
    92   158      120.00       48.00    -1747.6710
    92   158      120.00       51.00    -1750.8828
    92   158      120.00       54.00    -1746.9200
    92   158      120.00       57.00    -1743.9670
    92   158      120.00       60.00    -1740.3190
    92   158      128.00        0.00    -1793.9210
    92   158      128.00        3.00    -1792.5840
    92   158      128.00        6.00    -1795.3940
    92   158      128.00        9.00    -1796.3450
    92   158      128.00       12.00    -1795.9530
    92   158      128.00       15.00    -1793.5930
    92   158      128.00       18.00    -1790.1280
    92   158      128.00       21.00    -1785.3270
    92   158      128.00       24.00    -1779.8260
    92   158      128.00       27.00    -1774.4476
    92   158      128.00       30.00    -1771.6740
    92   158      128.00       33.00    -1769.6830
    92   158      128.00       36.00    -1767.7250
    92   158      128.00       39.00    -1766.6230
    92   158      128.00       42.00    -1765.0650
    92   158      128.00       45.00    -1761.1660
    92   158      128.00       48.00    -1755.4780
    92   158      128.00       51.00    -1756.0320
    92   158      128.00       54.00    -1751.9044
    92   158      128.00       57.00    -1747.8930
    92   158      128.00       60.00    -1745.3120
    92   158      136.00        0.00    -1790.9950
    92   158      136.00        3.00    -1791.7510
    92   158      136.00        6.00    -1794.4190
    92   158      136.00        9.00    -1796.0850
    92   158      136.00       12.00    -1796.6270
    92   158      136.00       15.00    -1795.0480
    92   158      136.00       18.00    -1791.7060
    92   158      136.00       21.00    -1788.0930
    92   158      136.00       24.00    -1782.8620
    92   158      136.00       27.00    -1777.1570
    92   158      136.00       30.00    -1772.9520
    92   158      136.00       33.00    -1766.7660
    92   158      136.00       36.00    -1768.3850
    92   158      136.00       39.00    -1766.3940
    92   158      136.00       42.00    -1765.1280
    92   158      136.00       45.00    -1763.3620
    92   158      136.00       48.00    -1759.8410
    92   158      136.00       51.00    -1759.2040
    92   158      136.00       54.00    -1755.7350
    92   158      136.00       57.00    -1749.6810
    92   158      136.00       60.00    -1747.8160
    92   158      144.00        0.00    -1790.7480
    92   158      144.00        3.00    -1791.3270
    92   158      144.00        6.00    -1793.9700
    92   158      144.00        9.00    -1796.3030
    92   158      144.00       12.00    -1797.3230
    92   158      144.00       15.00    -1796.2550
    92   158      144.00       18.00    -1793.5620
    92   158      144.00       21.00    -1789.8930
    92   158      144.00       24.00    -1785.8620
    92   158      144.00       27.00    -1780.3460
