#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140     32.000     18.000  -1720.88657      0.73955      0.15630     -0.19850      0.75240
    92    140     32.000     21.000  -1710.94450      0.76682      0.13260     -0.24320      0.76500
    92    140     32.000     24.000  -1702.65071      0.82593      0.12540     -0.23300      0.72910
    92    140     32.000     27.000  -1694.30327      0.72619      0.10070     -0.18620      0.64960
    92    140     32.000     30.000  -1683.06506      0.66558      0.09035     -0.19330      0.63830
    92    140     32.000     33.000  -1671.52442      0.70552      0.11890     -0.27430      0.83370
    92    140     32.000     36.000  -1669.92246      0.61248      0.16250     -0.35930      1.09000
    92    140     32.000     39.000  -1660.51850      0.70172      0.12540     -0.24330      0.81980
    92    140     32.000     42.000  -1651.96995      0.76820      0.09288     -0.18370      0.58180
    92    140     32.000     45.000  -1641.98403      0.68970      0.08644     -0.17240      0.57890
    92    140     32.000     48.000  -1630.30117      0.72935      0.10370     -0.25550      0.75250
    92    140     32.000     51.000  -1616.83931      0.75336      0.13180     -0.33390      0.95060
    92    140     32.000     54.000  -1603.60225      0.71077      0.07017     -0.16600      0.49150
    92    140     32.000     57.000  -1591.18968      0.61021      0.07454     -0.16800      0.50420
    92    140     32.000     60.000  -1577.84353      0.76223      0.05709     -0.11840      0.37200
    92    140     40.000     -0.000  -1748.54899      1.43282      0.08552      0.00000      0.12860
    92    140     40.000      3.000  -1748.48392      1.13269      0.07990     -0.05222      0.24700
    92    140     40.000      6.000  -1748.41841      1.06330      0.07091     -0.07317      0.35910
    92    140     40.000      9.000  -1748.17002      0.86851      0.13330     -0.05878      0.27730
    92    140     40.000     12.000  -1747.09279      1.21119      0.16630     -0.04937      0.12530
    92    140     40.000     15.000  -1740.67270      0.87582      0.14550     -0.00244      0.28750
    92    140     40.000     18.000  -1729.56976      0.54721      0.18010     -0.29420      1.00100
    92    140     40.000     21.000  -1716.58548      0.69225      0.16100     -0.23890      0.75580
    92    140     40.000     24.000  -1706.13140      0.76747      0.11490     -0.20720      0.73370
    92    140     40.000     27.000  -1697.40470      0.82435      0.10830     -0.21560      0.72070
    92    140     40.000     30.000  -1688.89487      0.83503      0.12560     -0.27540      0.82290
    92    140     40.000     33.000  -1678.36241      0.83001      0.10840     -0.21290      0.70100
    92    140     40.000     36.000  -1676.41868      0.67445      0.13080     -0.23110      0.80170
    92    140     40.000     39.000  -1668.95554      0.65281      0.11400     -0.21050      0.74180
    92    140     40.000     42.000  -1658.05217      0.76937      0.11680     -0.23490      0.74010
    92    140     40.000     45.000  -1647.77877      0.67861      0.09708     -0.21770      0.68120
    92    140     40.000     48.000  -1637.94041      0.72291      0.29850     -0.76110      2.12800
    92    140     40.000     51.000  -1626.56861      0.75590      0.08184     -0.18740      0.58790
    92    140     40.000     54.000  -1613.95898      0.74689      0.09460     -0.20500      0.67560
    92    140     40.000     57.000  -1602.39359      0.60055      0.07818     -0.09088      0.46220
    92    140     40.000     60.000  -1590.19154      2.77359      0.09044     -0.07527      0.50660
    92    140     48.000     -0.000  -1749.66581      1.68257      0.10270     -0.00000      0.08818
    92    140     48.000      3.000  -1747.05533      1.21088      0.10300     -0.01056      0.15810
    92    140     48.000      6.000  -1744.08562      1.19780      0.12120     -0.03476      0.36760
    92    140     48.000      9.000  -1743.03500      1.04708      0.11530     -0.09108      0.43170
    92    140     48.000     12.000  -1742.87686      0.87339      0.10670     -0.09962      0.30190
    92    140     48.000     15.000  -1741.76077      1.17653      0.11830     -0.03368      0.14040
    92    140     48.000     18.000  -1736.46968      1.01213      0.09479     -0.04738      0.12340
    92    140     48.000     21.000  -1725.02483      0.73912      0.10490     -0.16250      0.45210
    92    140     48.000     24.000  -1711.45389      0.75710      0.11500     -0.22120      0.62550
    92    140     48.000     27.000  -1701.06359      0.81663      0.09861     -0.20930      0.66620
    92    140     48.000     30.000  -1693.40800      0.76749      0.07663     -0.13900      0.47970
    92    140     48.000     33.000  -1684.03784      0.72534      0.09892     -0.20680      0.64220
    92    140     48.000     36.000  -1682.26996      0.62821      0.12830     -0.24990      0.79970
    92    140     48.000     39.000  -1675.09604      0.74525      0.11630     -0.23270      0.71620
